luas_tanah;luas_bangunan;jml_kamar;umur;jarak;harga;;;;
8.817.697.133.833.630;3.888.674.570.596.900;3;2.644.987.446.998.130;1.797.906.981.357.650;200.00.00;;;;
4.939.878.103.255.280;6.474.326.484.208.480;5;36.448.617.326.329.600;24.181.301.905.091.400;3.008.717.960.500.110;;;;
21.842.185.809.025.400;27.886.278.374.329.600;2;19.039.177.694.621.400;18.246.973.230.372.700;200.00.00;;;;
2.167.889.661.801.000;19.418.758.114.269.100;2;17.464.314.227.333.900;19.934.747.469.490.600;200.00.00;;;;
41.575.980.526.587.600;351.212.634.119.677;3;3.552.451.175.277.950;14.308.204.183.973.500;7.175.242.648.816.500;;;;
4.762.618.598.227.360;9.554.542.209.553.270;1;6.356.829.913.203.270;15.638.497.200.405.800;3.649.820.713.447.850;;;;
4.937.004.787.202.910;2.862.716.023.236.800;1;9.330.074.841.980.400;7.408.753.892.882.240;7.851.795.934.894.150;;;;
3.890.201.833.665.230;3.401.026.571.698.000;4;5.007.932.124.525.040;18.889.960.201.944.700;5.927.037.360.270.870;;;;
2.193.168.134.889.120;3.795.072.612.053.880;3;73.118.844.757.302.500;11.064.565.356.058.900;3.552.576.871.130.410;;;;
8.757.532.251.440.090;2.828.017.704.671.680;4;8.028.023.965.851.220;14.915.380.485.353.500;200.00.00;;;;
3.997.161.121.673.460;2.139.546.626.831.180;3;10.070.214.991.171.700;1.855.804.660.231.430;200.00.00;;;;
3.012.819.123.811.120;25.860.347.887.444.900;5;2.248.171.358.403.470;19.528.419.543.534.600;4.039.928.406.986.170;;;;
24.089.990.416.113.900;35.149.484.425.712.500;2;1.715.736.611.551.800;1.683.088.277.533.680;5.518.740.383.850.290;;;;
4.578.594.732.926.310;24.112.560.625.636.600;5;29.587.400.158.542.000;675.733.263.265.857;4.003.853.789.943.590;;;;
10.003.886.703.776.800;4.124.321.208.782.960;3;12.442.074.809.024.100;19.364.402.814.489.500;200.00.00;;;;
2.716.812.969.308.860;3.744.510.173.375.810;2;2.261.595.221.510.770;12.934.271.093.627.800;24.278.178.074.425.600;;;;
5.510.914.014.533.850;2.851.248.978.816.770;1;26.144.052.641.296.000;18.682.207.050.687.200;200.00.00;;;;
2.608.972.888.973.560;28.030.995.273.758.100;1;2.036.935.479.114.120;13.845.995.490.472.600;200.00.00;;;;
753.364.740.568.268;10.979.980.638.715.500;4;1.235.594.221.252.480;6.837.540.275.106.680;200.00.00;;;;
10.346.806.232.063.200;2.737.876.239.860.830;3;2.260.783.892.237.250;8.030.465.958.713.500;200.00.00;;;;
1.028.868.110.496.970;17.572.983.009.203.800;3;6.110.014.133.180.540;1.145.896.376.495.580;2.627.487.504.300.980;;;;
3.421.446.359.522.280;27.095.620.150.535.200;1;9.826.564.955.403.970;16.010.281.989.637.700;5.877.462.438.627.460;;;;
3.857.201.956.694.400;6.943.942.121.395.650;5;16.400.557.652.978.600;7.041.668.475.466.360;3.663.311.749.354.930;;;;
3.125.159.442.937.210;27.340.276.270.312.300;2;1.726.228.161.858.440;1.201.489.215.654.960;3.311.289.770.497.630;;;;
48.297.764.681.354.300;3.997.830.785.351.460;5;0.6642442641788837;7.566.874.877.951.620;12.395.459.018.658.500;;;;
21.869.176.078.566.600;4.783.845.437.840.570;5;28.353.425.662.680.200;16.499.618.688.067.000;200.00.00;;;;
17.857.043.882.683.700;3.915.544.481.618.870;1;208.988.181.365.217;9.867.833.781.591.050;200.00.00;;;;
4.408.696.076.852.570;18.055.594.546.746.200;1;14.871.112.506.956.700;24.577.337.102.048.100;5.360.556.518.900.530;;;;
1.506.181.273.337.530;3.521.787.766.247.850;1;2.799.381.703.224.920;4.154.997.908.149.190;3.208.897.967.887.540;;;;
4.834.501.427.482.750;3.194.826.291.015.610;4;13.172.866.957.524.800;21.609.886.847.730.100;7.208.847.681.312.940;;;;
5.546.951.361.041.730;23.979.601.656.506.700;5;29.413.067.108.111.100;1.048.675.597.427.210;200.00.00;;;;
48.644.547.201.843.700;3.032.262.074.229.900;3;15.368.542.717.304.500;3.020.408.649.616.310;6.379.469.485.722.190;;;;
6.942.196.037.775.920;35.505.075.768.149.800;2;3.428.573.099.939.380;316.865.941.688.301;3.974.850.176.089.940;;;;
451.014.401.164.132;1.795.319.190.108.820;4;2.294.402.917.377.830;18.879.916.940.729.100;200.00.00;;;;
2.874.654.990.888.340;15.100.226.977.839.800;3;20.366.931.752.335.200;17.580.446.371.345.000;200.00.00;;;;
49.683.415.825.368.500;27.700.955.265.852.600;5;23.189.601.639.167.600;9.589.645.339.415.950;5.968.004.808.566.310;;;;
8.320.845.413.092.940;3.289.029.985.182.650;1;2.854.326.086.177.040;1.973.030.109.615.390;200.00.00;;;;
2.992.344.279.805.940;3.120.454.998.673.470;5;23.294.679.079.530.500;10.035.440.352.425.900;5.960.296.127.127.060;;;;
48.618.614.102.859.400;32.519.105.007.769.400;2;18.340.098.066.499.400;12.665.609.669.194.400;4.978.311.562.081.630;;;;
28.539.402.987.656.600;1.911.658.264.807.850;4;25.719.267.070.825.200;12.712.135.370.065.500;200.00.00;;;;
33.322.938.716.086.800;332.598.659.984.758;4;20.197.393.180.635.900;9.691.418.061.527.870;6.874.164.670.987.520;;;;
36.308.691.004.307.700;7.447.735.048.712.510;2;12.243.571.704.777.600;8.542.011.485.751.560;20.498.555.029.439.000;;;;
25.454.347.914.549.700;23.146.096.624.551.400;3;26.568.592.927.253.100;9.652.279.574.131.540;3.671.578.081.463.790;;;;
33.240.113.603.782.800;32.130.704.384.304.900;3;66.570.138.235.311.800;888.424.828.551.393;200.00.00;;;;
3.129.414.403.653.950;15.009.675.706.310.000;4;21.439.238.247.261.700;14.879.357.072.163.600;21.180.342.372.675.100;;;;
45.552.110.472.094.500;1.655.907.679.024.170;4;2.644.690.364.822.270;3.571.753.264.492.390;27.263.927.535.088.000;;;;
7.045.087.115.365.600;1.765.838.958.954.240;1;21.939.495.591.098.800;4.755.145.191.231.470;200.00.00;;;;
17.643.343.531.650.300;287.322.866.475.249;3;20.918.262.571.615.700;44.298.463.394.560.400;2.568.139.885.688.130;;;;
4.776.851.678.344.510;17.376.649.747.002.700;2;2.257.914.882.215.500;5.986.941.117.304.020;2.833.238.789.061.010;;;;
45.061.870.275.091.200;19.601.664.037.033.600;3;13.951.657.449.019.300;10.979.909.956.850.000;3.319.642.213.870.700;;;;
2.550.455.387.535.700;11.789.132.842.350.100;1;2.622.512.046.471.070;31.129.661.994.261.500;25.650.650.616.952.300;;;;
32.905.966.901.069.100;16.810.316.290.285.500;4;6.103.094.254.082.730;17.495.216.611.203.500;2.806.826.634.960.670;;;;
1.748.215.323.415.090;11.408.976.208.736.600;4;38.215.924.800.101.700;6.649.869.094.860.970;29.762.890.052.941.100;;;;
13.465.452.187.569.200;5.708.249.179.432.410;1;8.565.263.403.555.340;4.088.221.761.905.440;200.00.00;;;;
258.664.282.222.992;25.327.597.955.110.900;2;15.947.321.903.249.700;13.836.804.882.366.600;350.938.480.755.421;;;;
20.900.850.261.172.300;277.238.735.465.356;4;15.316.853.862.280.100;17.236.397.113.870.600;5.133.889.196.581.220;;;;
31.264.525.033.289.200;25.921.142.802.355.700;5;246.179.627.302.976;1.277.940.273.260.910;24.907.068.408.151.300;;;;
8.498.058.663.424.310;20.149.279.620.621.100;4;12.137.059.692.120.500;14.265.770.182.853.400;200.00.00;;;;
4.884.776.634.497.740;17.052.073.866.631.500;5;14.530.332.788.745.200;5.083.414.096.347.660;5.757.345.877.228.570;;;;
4.937.948.350.158.210;34.943.345.034.157.500;1;0.40103049778186906;17.973.173.954.290.500;9.464.417.793.583.590;;;;
36.417.277.130.888.500;2.220.602.605.004.000;1;12.292.177.093.288.100;7.909.261.819.469.540;22.021.460.958.366.900;;;;
2.912.433.648.548.540;20.729.729.472.300.000;4;19.433.226.988.510.200;2.873.290.374.596.790;3.363.413.574.227.050;;;;
18.928.742.732.884.700;39.487.564.348.381.200;3;0.46524991879776545;32.130.791.437.934.000;318.139.615.234.693;;;;
4.162.077.588.681.260;15.626.169.622.167.700;5;8.426.458.955.587.310;5.830.963.397.452.420;27.839.123.065.075.700;;;;
3.581.290.276.492.450;17.067.237.895.076.700;2;6.238.690.778.681.690;66.138.905.679.084.200;3.073.057.180.188.840;;;;
12.317.762.270.520.100;17.756.442.893.185.300;4;12.595.628.672.876.400;11.069.436.479.406.900;3.164.332.216.312.610;;;;
4.599.172.330.222.290;24.466.377.661.411.200;2;14.377.802.697.436.100;1.388.944.582.455.720;5.626.898.401.041.080;;;;
42.014.175.931.542.600;22.743.294.228.894.500;4;54.516.987.968.446.900;1.226.264.787.653.350;841.974.730.882.314;;;;
4.774.099.609.813.650;2.549.248.843.335.740;3;22.292.446.188.941.400;38.188.464.085.008.100;8.221.953.747.658.830;;;;
376.573.778.774.762;31.300.680.677.058.700;3;25.437.836.512.900.400;4.269.634.616.599.900;50.328.993.752.515.200;;;;
32.603.683.817.110.500;3.308.047.233.249.540;3;16.367.555.480.074.400;17.696.615.746.065.300;27.698.454.597.488.900;;;;
2.382.093.663.307.780;2.957.055.382.038.020;3;29.451.220.275.634.200;1.160.869.398.621.810;327.398.199.952.522;;;;
46.972.781.750.930.500;38.354.376.750.332.500;1;1.351.435.714.411.780;17.528.818.825.056.000;4.356.265.027.136.500;;;;
43.972.875.027.518.300;367.460.555.902.538;1;15.401.046.306.747.400;8.059.383.715.077.610;200.00.00;;;;
7.034.840.154.778.520;10.243.785.470.291.200;5;29.676.532.618.732.500;12.673.600.141.195.100;200.00.00;;;;
61.865.138.523.763.400;32.798.263.741.912.500;2;6.946.453.078.951.460;10.949.604.905.037.600;200.00.00;;;;
2.194.085.150.951.220;2.695.656.442.372.030;4;28.276.378.190.307.100;7.063.346.306.588.780;3.110.323.110.133.360;;;;
4.147.489.988.518.240;3.622.713.031.114.950;4;12.851.266.535.733.900;9.928.392.068.638.310;6.770.688.888.459.050;;;;
494.274.258.191.725;12.008.844.973.323.000;1;13.391.606.707.895.800;1.054.732.665.971.170;30.292.510.681.275.200;;;;
11.768.760.099.658.700;37.300.278.157.463.300;4;2.100.105.363.991.970;4.814.648.520.376.890;8.303.524.187.621.370;;;;
3.173.588.219.084.600;52.298.934.407.137.500;1;2.187.704.228.740.920;69.851.970.751.579;200.00.00;;;;
22.140.088.548.395.900;37.574.132.991.804.000;5;18.252.268.076.400.500;16.036.785.259.632.500;6.119.173.427.734.840;;;;
48.646.147.901.657.100;16.010.039.427.866.400;2;21.199.027.904.027.800;18.399.976.549.628.400;35.005.517.208.091.300;;;;
4.289.535.154.110.680;6.752.570.652.621.010;5;11.234.411.999.040.500;783.608.777.736.069;4.390.562.875.995.070;;;;
427.247.917.120.012;2.097.725.508.989.400;3;11.084.458.020.941.400;6.832.473.361.971.340;4.391.628.115.829.350;;;;
26.091.192.190.773.600;12.500.733.005.658.700;3;13.595.783.688.268.300;4.708.746.126.865.760;5.285.625.569.590.800;;;;
23.666.877.605.194.900;13.540.297.372.591.100;3;10.498.348.185.889.100;13.891.332.204.361.000;200.00.00;;;;
1.730.331.823.688.170;14.369.728.702.272.600;5;27.878.652.067.861.700;7.138.894.331.660.400;200.00.00;;;;
753.689.734.929.172;3.271.195.821.980.850;4;1.137.679.611.541.340;1.976.724.124.288.450;22.576.983.515.738.500;;;;
43.912.506.931.477.300;22.948.967.236.984.400;2;249.410.311.866.591;7.188.011.239.215.110;35.381.520.808.364.500;;;;
4.158.054.541.085.340;14.518.384.868.772.100;3;25.269.765.142.498.000;8.488.584.888.869.930;200.00.00;;;;
49.987.295.297.875.800;2.558.234.998.250.390;3;11.197.234.691.377.000;1.246.334.972.802.860;3.002.428.726.252.620;;;;
4.984.865.766.832.570;29.497.574.946.258.100;3;1.895.966.041.188.560;16.232.001.570.634.700;5.903.454.427.851.380;;;;
2.999.442.675.211.820;1.308.708.802.714.070;2;2.861.148.068.191.750;992.085.464.156.704;3.741.988.850.689.430;;;;
3.960.443.368.312.290;18.301.316.756.438.000;3;31.103.574.220.282.900;9.030.464.641.990.200;21.923.697.902.547.900;;;;
4.751.445.784.470.920;750.978.545.346.706;2;14.597.299.098.513.900;19.917.118.838.301.300;200.00.00;;;;
43.234.132.580.483.500;9.702.525.932.783.170;3;17.430.452.801.253.200;11.993.791.816.589.400;3.961.917.738.843.830;;;;
16.130.664.578.443.800;28.201.360.596.704.300;5;12.782.129.328.782.900;1.800.624.048.817.360;3.013.627.738.929.410;;;;
25.274.486.088.954.200;9.713.218.864.738.190;5;16.440.970.699.927.200;3.833.675.692.855.010;200.00.00;;;;
10.812.173.681.817.200;22.431.045.195.681.200;2;15.632.195.715.251.600;15.932.580.247.969.300;200.00.00;;;;
47.932.296.226.642.500;29.234.711.683.730.000;5;10.506.089.732.721.900;12.740.699.637.079.600;7.048.125.011.691.780;;;;
322.778.585.502.896;6.954.446.154.505.520;2;20.324.202.444.704.100;7.495.098.424.463.740;200.00.00;;;;
15.288.926.247.655.800;23.990.552.126.269.400;5;2.275.505.642.749.170;1.760.362.415.489.930;200.00.00;;;;
35.226.530.798.263.500;12.492.822.996.950.400;5;0.43884776633027145;12.452.373.316.388.400;49.588.083.187.041.400;;;;
32.815.770.820.605.300;38.628.294.383.790.400;2;621.726.899.306.635;530.712.238.942.355;8.207.985.947.967.520;;;;
21.117.322.311.477.800;20.891.188.928.637.200;4;21.397.076.042.500.100;11.770.963.128.741.100;200.00.00;;;;
10.110.091.648.983.300;3.282.172.434.168.080;5;11.598.605.179.015.000;7.679.302.940.944.260;23.936.850.376.632.500;;;;
35.220.793.801.675.900;23.358.382.059.781.600;3;19.874.518.408.248.200;12.597.172.411.048.200;2.898.199.060.139.200;;;;
284.138.465.406.707;4.606.263.715.628.300;4;10.408.879.792.036.700;14.580.936.747.646.600;200.00.00;;;;
3.975.432.762.810.370;26.426.600.896.978.800;2;11.722.654.569.889.100;32.127.196.791.525.300;24.191.329.220.708.900;;;;
28.407.357.550.039.700;3.820.192.366.164.630;4;4.760.366.210.690.540;34.148.285.641.503.400;9.056.560.270.140.180;;;;
43.348.167.514.334.300;25.259.637.345.414.200;1;77.469.305.899.848;45.963.892.724.041.700;41.402.620.967.612.000;;;;
2.983.580.774.485.180;33.309.987.798.791.200;1;18.162.352.725.227.600;9.727.297.375.210.310;200.00.00;;;;
30.242.208.719.092.300;3.571.563.914.389.100;5;12.994.893.339.454.900;15.290.445.291.327.800;3.726.453.866.515.600;;;;
44.449.412.119.625.500;11.438.951.562.110.500;5;23.229.080.488.337.800;1.820.523.792.064.910;200.00.00;;;;
23.156.728.979.557.800;10.845.659.076.604.300;3;25.577.548.648.150.200;16.872.078.075.400.600;200.00.00;;;;
11.030.685.280.278.800;2.560.629.658.748.660;4;16.249.392.546.502.700;4.740.869.563.737.980;200.00.00;;;;
6.295.220.434.100.250;18.208.053.382.848.000;1;22.748.018.761.681.700;9.381.860.492.382.010;200.00.00;;;;
38.981.176.505.312.800;3.407.486.820.606.860;5;9.207.135.395.837.100;4.788.820.357.412.160;8.418.411.623.386.820;;;;
3.291.392.981.090.590;36.300.855.565.726.400;4;12.449.136.462.002.300;6.024.964.516.676.620;44.969.925.171.768.500;;;;
36.683.589.564.465.000;1.607.659.103.420.050;5;2.138.333.028.650.490;10.567.392.648.725.800;200.00.00;;;;
14.583.387.267.900.900;11.764.210.682.055.800;5;1.158.635.978.451.090;2.294.071.469.746.920;200.00.00;;;;
1.113.671.640.140.460;31.879.444.064.022.800;1;17.655.148.054.769.600;5.145.312.262.272.190;2.402.960.561.912.200;;;;
56.545.099.550.546.800;13.167.823.315.281.000;1;55.611.833.724.753.400;18.772.185.064.835.200;200.00.00;;;;
20.776.440.146.296.800;334.367.297.850.061;5;1.799.313.944.911.490;985.620.956.051.129;5.853.131.018.959.930;;;;
3.154.629.590.845.840;18.678.315.385.004.200;2;25.845.411.216.806.800;9.462.343.993.579.570;5.257.767.359.119.140;;;;
22.650.982.029.487.900;2.769.934.627.378.440;5;26.059.189.194.702.700;1.276.775.940.274.290;200.00.00;;;;
24.686.371.491.067.800;6.534.806.611.882.720;5;2.173.033.218.988.610;570.059.519.410.857;200.00.00;;;;
4.568.714.125.221.860;26.082.795.013.033.200;3;22.372.601.372.283.700;17.459.556.283.661.400;5.840.845.975.867.050;;;;
20.671.496.016.048.500;19.715.404.113.277.400;3;1.673.782.335.452.100;4.127.940.136.914.700;200.00.00;;;;
2.812.952.701.219.140;24.704.513.137.492.500;3;17.540.042.704.974.700;8.887.373.851.159.700;5.910.758.265.721.420;;;;
4.026.438.557.335.140;9.216.525.686.559.940;2;40.095.174.423.155.300;1.272.287.211.473.020;46.389.990.596.314.100;;;;
22.844.425.204.457.100;30.264.328.562.934.700;2;13.315.775.652.639.000;10.088.374.151.740.500;3.715.417.347.146.630;;;;
32.993.901.510.254.300;34.923.491.869.099.400;5;13.523.288.516.590.900;1.399.401.027.798.120;5.200.714.722.600.180;;;;
43.806.366.893.603.500;11.019.372.603.358.600;3;28.754.935.070.032.200;16.572.581.508.250.100;200.00.00;;;;
47.728.428.064.593.800;6.541.438.554.245.980;2;12.932.605.878.698.600;1.667.222.158.225.490;4.083.040.995.140.340;;;;
11.618.306.641.806.700;38.746.276.837.144.400;1;1.648.027.934.708.270;15.967.101.577.745.000;200.00.00;;;;
46.696.443.132.267.200;2.675.294.551.640.080;5;15.997.541.978.373.000;6.383.917.308.931.240;5.541.366.345.212.610;;;;
2.714.523.318.857.920;25.462.479.335.284.800;4;19.102.851.511.329.800;1.690.750.714.621.450;27.780.613.301.423.600;;;;
16.620.997.473.453.100;23.227.804.270.420.500;5;22.446.984.939.956.800;11.316.964.519.500.100;200.00.00;;;;
2.566.110.903.072.170;1.158.204.255.629.100;4;6.751.256.285.126.160;8.102.354.068.473.040;3.339.555.390.410.870;;;;
4.910.146.588.784.640;17.463.521.848.504.000;3;15.861.732.572.953.000;12.881.269.234.380.400;2.324.462.261.302.030;;;;
2.716.781.422.967.910;24.995.624.401.888.400;4;24.777.531.219.480.900;12.344.798.751.471.000;37.924.632.134.256.100;;;;
1.979.382.246.293.780;21.380.373.777.789.200;3;13.893.441.415.125.300;3.716.256.674.414.290;2.270.414.984.188.030;;;;
3.350.303.844.425.260;3.954.806.424.795.080;1;835.372.639.120.719;15.103.577.225.234.900;23.291.467.010.513.700;;;;
1.580.655.284.501.860;8.048.270.844.599.120;4;1.964.127.226.068.890;5.639.070.565.606.900;200.00.00;;;;
8.413.849.764.889.870;2.872.034.849.976.090;5;24.713.021.873.973.600;12.362.173.229.246.200;200.00.00;;;;
10.799.587.485.979.200;1.795.979.441.985.880;3;18.942.087.878.217.300;8.316.949.453.637.560;2.302.656.150.640.560;;;;
1.076.206.275.309.970;18.843.385.752.247.700;5;23.303.714.502.216.800;17.241.309.797.185.900;200.00.00;;;;
11.835.621.208.053.200;2.955.111.732.935.250;2;24.649.437.988.853.100;1.909.589.081.393.620;200.00.00;;;;
11.247.222.769.223.400;28.620.137.599.001.600;3;13.845.687.827.658.200;17.787.729.839.033.600;22.189.626.938.512.300;;;;
3.383.936.351.614.460;39.676.471.766.980.900;4;2.949.916.970.455.400;6.141.779.899.178.330;4.771.483.030.947.430;;;;
13.184.603.797.961.500;7.750.588.709.802.630;3;23.601.250.221.219.200;4.689.094.511.875.560;200.00.00;;;;
20.555.027.749.573.800;6.852.057.027.214.150;5;23.209.876.946.869.900;10.014.262.978.793.900;3.205.756.494.921.820;;;;
4.535.547.844.577.050;2.980.053.623.376.340;1;22.435.157.232.362.100;11.393.488.658.874.200;5.448.315.932.916.310;;;;
26.328.273.811.829.200;24.400.315.929.237.100;3;451.824.309.654.822;1.490.378.464.400.450;45.946.895.228.971.100;;;;
35.040.098.233.446.200;13.143.944.662.712.800;4;6.516.926.593.590.320;11.512.522.152.837;21.343.532.946.120.000;;;;
12.754.394.204.073.300;59.385.166.525.925.000;2;1.391.970.394.393.270;10.888.538.679.140.400;200.00.00;;;;
13.653.005.846.390.100;616.935.523.506.793;1;7.920.130.498.783.970;1.989.705.779.166.990;200.00.00;;;;
6.839.087.731.991.540;36.085.062.362.572.300;2;12.457.229.170.021.200;48.349.948.719.114.000;4.819.541.597.353.620;;;;
12.602.077.838.247.400;10.099.091.014.593.400;3;2.665.392.329.768.760;59.039.746.540.489;200.00.00;;;;
17.536.565.256.438.100;14.964.747.798.274.200;5;24.729.806.756.378.000;3.157.272.204.199.440;3.500.787.551.231.150;;;;
12.965.471.792.453.600;11.386.286.882.398.500;5;18.901.196.354.399.400;1.843.331.718.342.110;200.00.00;;;;
8.991.614.019.067.500;1.613.486.331.578.160;4;25.743.611.827.533.100;15.778.413.644.710.500;200.00.00;;;;
10.428.614.199.527.000;5.568.682.181.605.450;5;23.513.171.670.517.400;166.244.431.176.801;200.00.00;;;;
2.573.504.456.147.260;22.205.212.263.606.000;1;12.869.547.955.226.700;18.152.511.971.325.600;200.00.00;;;;
14.285.017.328.260.600;55.016.648.529.119.500;5;6.031.954.561.498.350;10.973.099.747.790.900;200.00.00;;;;
21.392.143.747.163.300;32.613.190.789.427.300;4;15.426.031.200.280.100;957.267.063.756.375;8.034.924.720.255.760;;;;
2.765.377.718.846.850;11.647.347.030.686.000;3;22.086.866.475.856.500;7.277.437.999.646.710;4.379.888.619.773.070;;;;
36.067.767.288.321.400;22.980.440.840.366.800;3;1.309.258.796.188.770;12.195.077.672.609.200;40.642.811.576.935.200;;;;
6.769.046.292.849.450;3.556.292.623.977.390;5;20.003.157.293.516.900;9.631.289.539.006.620;3.659.503.307.243.420;;;;
40.973.467.950.906.900;27.082.462.654.746.100;2;28.298.227.887.313.000;9.579.746.145.505.920;5.343.870.368.480.830;;;;
3.325.551.752.709.080;22.719.438.102.399.400;3;22.440.142.091.142.100;1.880.162.941.089.160;200.00.00;;;;
8.679.156.437.699.230;150.003.488.652.689;5;2.438.140.859.679.180;19.696.598.771.303.400;200.00.00;;;;
4.431.103.808.480.490;15.321.070.783.153.300;4;21.205.135.673.416.200;16.133.203.397.262.000;3.345.832.109.620.770;;;;
4.643.925.802.393.150;2.777.101.734.233.300;5;29.017.907.625.790.900;15.378.403.714.691.600;5.620.782.808.935.410;;;;
7.748.508.193.468.860;39.783.156.365.183.100;3;24.799.561.723.819.200;13.930.605.073.802.900;34.280.940.043.942.700;;;;
17.459.494.166.624.100;2.748.805.002.442.700;4;2.709.281.183.629.610;4.155.422.194.336.760;200.00.00;;;;
4.127.905.759.068.770;23.637.986.442.690.900;5;2.800.713.250.372.940;2.123.010.596.637.430;4.336.677.465.624.760;;;;
38.671.686.067.264.600;30.034.068.878.852.100;1;2.404.043.975.621.420;14.123.799.987.152;200.00.00;;;;
1.330.344.587.103.690;20.212.607.654.497.500;4;20.227.765.260.194.900;14.846.938.222.874.900;2.276.849.503.334.600;;;;
14.420.719.550.151.900;5.225.266.676.229.050;1;0.17155744082367863;1.892.486.830.864.650;200.00.00;;;;
2.167.124.462.561.210;23.804.982.187.482.600;2;13.974.772.596.693.700;18.632.983.254.348.100;200.00.00;;;;
2.680.353.433.359.590;3.843.213.552.669.900;4;1.713.486.895.867.080;27.316.721.494.488.700;6.906.329.908.912.960;;;;
3.282.146.471.886.330;9.486.208.867.233.400;1;912.090.817.343.999;6.432.110.141.652.840;6.405.565.250.456.890;;;;
21.601.113.780.639.700;28.530.180.960.364.600;3;9.543.133.407.104.160;13.775.406.443.175.300;3.628.664.688.643.290;;;;
25.814.062.225.991.600;1.043.454.648.038.500;3;28.834.782.471.304.900;422.757.929.368.505;200.00.00;;;;
38.636.192.216.019.000;22.825.624.325.504.000;2;26.751.325.956.082.300;20.529.018.804.026.400;200.00.00;;;;
6.650.744.130.076.900;6.577.028.636.928.620;4;25.475.370.165.051.100;7.291.783.294.118.840;200.00.00;;;;
16.359.662.495.480.900;1.966.372.464.155.280;4;12.180.354.051.183.300;15.553.459.922.248.400;200.00.00;;;;
3.710.073.136.480.480;30.978.043.169.124.100;4;0.41095651226743635;8.859.894.900.719.940;9.322.958.141.077.310;;;;
4.528.430.769.592.390;15.860.146.396.842.300;2;24.066.673.936.714.200;13.406.485.516.250.800;5.692.553.167.498.770;;;;
28.025.484.895.204.900;2.760.173.380.602.700;4;9.365.891.046.528.100;12.012.762.847.334.500;35.449.898.047.949.500;;;;
28.945.106.836.939.200;3.243.164.854.921.990;3;0.4722873898703095;14.221.511.584.860.200;5.051.268.252.314.920;;;;
9.822.740.510.289.920;37.305.579.320.739.700;1;0.5144934574559434;19.782.259.753.868.400;3.145.446.466.139.370;;;;
2.513.355.650.705.540;1.168.175.702.865.170;3;2.749.809.904.927.230;17.871.336.875.683.600;200.00.00;;;;
28.967.776.990.476.000;17.774.688.884.944.400;3;2.118.475.506.357.160;19.388.252.015.321.200;200.00.00;;;;
15.911.172.663.562.800;8.639.392.493.225.440;1;926.867.970.204.458;11.447.419.388.923.500;200.00.00;;;;
17.115.945.392.722.100;39.721.889.579.859.800;3;39.793.373.280.285.900;19.300.021.514.236.200;200.00.00;;;;
21.977.787.339.708.000;37.299.035.813.198.900;2;15.349.071.536.852.300;31.803.183.888.628.700;5.521.639.280.270.600;;;;
5.903.203.899.997.680;22.978.413.820.380.700;1;0.1603848256309337;10.317.761.864.524.700;3.179.964.686.623.750;;;;
19.493.562.451.243.000;3.415.523.189.192.750;3;2.815.241.231.574.430;4.220.577.745.455.110;4.570.879.524.290.400;;;;
14.515.160.314.844.500;2.227.544.515.906.550;5;12.444.453.581.668.400;1.968.522.663.426.400;200.00.00;;;;
1.973.738.084.800.610;26.072.670.456.102.100;3;12.070.048.657.119.900;1.273.305.318.618.390;32.825.459.111.965.700;;;;
10.389.295.931.866.300;62.976.039.882.926.100;2;11.717.808.227.453.400;4.947.884.998.272.130;2.094.024.891.119.030;;;;
4.507.372.763.329.520;30.945.005.558.381.800;4;20.798.499.116.329.400;12.166.243.347.463.300;7.368.547.895.457.960;;;;
3.171.166.040.993.210;772.539.889.450.369;3;19.149.667.193.754.700;3.134.925.157.030.720;200.00.00;;;;
35.559.604.361.502.000;3.356.450.231.934.350;4;219.901.085.888.506;7.307.742.957.221.350;6.835.451.246.484.680;;;;
40.512.705.737.330.200;3.193.503.924.380.420;5;20.283.761.927.648.700;15.851.018.603.011.600;347.389.087.249.961;;;;
2.742.989.895.180.750;2.922.355.381.649.010;3;4.153.064.799.881.820;9.303.978.915.001.560;2.736.958.928.803.890;;;;
8.911.412.963.934.060;4.337.934.079.416.190;1;17.365.205.041.067.700;12.927.162.883.049.300;200.00.00;;;;
2.916.979.438.183.460;14.215.749.169.977.100;4;17.084.534.525.167.600;13.301.700.874.165.300;24.326.287.410.519.300;;;;
3.140.785.031.093.950;12.735.165.086.701.100;5;2.605.232.363.824.140;1.703.134.583.575.850;20.210.306.759.213.600;;;;
3.854.477.633.829.480;16.325.047.076.446.200;1;1.137.382.975.126.940;7.173.533.093.726.180;40.748.554.733.103.900;;;;
24.424.679.580.335.500;6.242.781.630.262.020;1;11.144.578.309.783.000;14.058.615.689.067.800;200.00.00;;;;
1.074.111.362.580.030;37.667.439.452.149.300;1;18.555.811.761.545.500;19.270.700.333.877.100;2.705.396.397.591.680;;;;
177.699.157.609.426;2.349.068.290.635.790;1;1.899.217.960.498.530;14.874.623.352.799.400;200.00.00;;;;
2.133.870.333.793.850;1.430.439.949.434.680;3;14.078.556.819.773.700;10.307.539.057.637.100;200.00.00;;;;
3.406.627.585.992.200;17.688.316.131.748.400;3;13.291.780.869.912.600;12.983.631.445.346.600;4.545.302.820.385.700;;;;
30.685.023.710.101.000;1.954.649.399.867.890;3;1.482.443.011.913.640;15.053.975.057.499.000;200.00.00;;;;
2.102.435.266.540.300;2.522.199.033.434.280;5;25.831.358.985.099.300;12.633.239.548.183.500;2.535.854.661.410.350;;;;
